reporting_area,population,agency_count,service_count,unique_test_count,avg_services_per_agency,avg_fee,min_fee,max_fee,labs_per_100k_population,services_per_100k_population,unique_tests_per_100k_population,area_sq_km,population_density_per_sq_km,agency_count_norm,service_count_norm,unique_test_count_norm,labs_per_100k_norm,services_per_100k_norm,unique_tests_per_100k_norm,population_norm,supply_score,per_capita_supply_score,gap_score,classification,nearest_agency,nearest_agency_province,centroid_nearest_lab_km,province_service_distance_km,service_area_band
COMPOSTELA VALLEY,767547,0,0,0,0.0,,,,0.0,0.0,0.0,4351.492390027093,176.38707165364502,0.0,0.0,0.0,0.0,0.0,0.0,0.055601998896301255,0.0,0.0,0.055601998896301255,No local OneLab presence,TADECO Disease Diagnostics and Services Laboratory,DAVAO DEL NORTE,53.20749209213655,53.20749209213655,No local lab; nearest 50-100 km
COTABATO (NORTH COTABATO),1275185,0,0,0,0.0,,,,0.0,0.0,0.0,5859.710231462316,217.61912272610314,0.0,0.0,0.0,0.0,0.0,0.0,0.09330078924634129,0.0,0.0,0.09330078924634129,No local OneLab presence,DOST-ARMM,MAGUINDANAO,67.2794225964731,67.2794225964731,No local lab; nearest 50-100 km
COTABATO CITY,697315,0,0,0,0.0,,,,0.0,0.0,0.0,86.10734308857582,8098.20597161725,0.0,0.0,0.0,0.0,0.0,0.0,0.05038635025718438,0.0,0.0,0.05038635025718438,No local OneLab presence,DOST-ARMM,MAGUINDANAO,2.037116866130375,2.037116866130375,No local lab; nearest <= 50 km
DAVAO DEL NORTE,1125057,1,9,5,9.0,505.55555555555554,230.0,1400.0,0.08888438541336129,0.7999594687202515,0.4444219270668064,3245.328834432525,346.6696465588598,0.038461538461538464,0.006498194945848376,0.0036845983787767134,0.28901528248494673,0.04946283940382731,0.02907390194916563,0.08215181301195615,0.01872081303871008,0.14120602914534275,0.06343099997324607,Well-served per capita,TADECO Disease Diagnostics and Services Laboratory,DAVAO DEL NORTE,22.29144530006998,0.0,Local OneLab presence
DAVAO DEL SUR,2457430,2,65,65,32.5,1154.3846153846155,0.0,6000.0,0.08138583805032087,2.645039736635428,2.645039736635428,4262.531990860705,576.5188402735688,0.07692307692307693,0.04693140794223827,0.047899778924097275,0.26463310585991606,0.16354725561188646,0.17303742518317577,0.18109801167134315,0.059121749730945534,0.2058796296253562,0.12197626194039762,Potentially underserved,Mines and Geosciences Bureau,DAVAO DEL SUR,31.022704688701836,0.0,Local OneLab presence
DAVAO OCCIDENTAL,317159,0,0,0,0.0,,,,0.0,0.0,0.0,1960.498110141417,161.7747032549408,0.0,0.0,0.0,0.0,0.0,0.0,0.02215477314059772,0.0,0.0,0.02215477314059772,No local OneLab presence,Analytical Solutions & Technical Services,SOUTH COTABATO,40.22817367923651,40.22817367923651,No local lab; nearest <= 50 km
DAVAO ORIENTAL,576343,0,0,0,0.0,,,,0.0,0.0,0.0,4989.026692462559,115.52213197631137,0.0,0.0,0.0,0.0,0.0,0.0,0.04140259004572456,0.0,0.0,0.04140259004572456,No local OneLab presence,DOST-XI,DAVAO DEL SUR,77.46035611786856,77.46035611786856,No local lab; nearest 50-100 km
DINAGAT ISLANDS,128117,0,0,0,0.0,,,,0.0,0.0,0.0,803.6798536801276,159.4129794511333,0.0,0.0,0.0,0.0,0.0,0.0,0.008115921192256048,0.0,0.0,0.008115921192256048,No local OneLab presence,DOST-VIII,LEYTE,132.1756003391849,132.1756003391849,No local lab; nearest 100-200 km
EASTERN SAMAR,477168,0,0,0,0.0,,,,0.0,0.0,0.0,4249.746189763354,112.28152898857496,0.0,0.0,0.0,0.0,0.0,0.0,0.0340375434318674,0.0,0.0,0.0340375434318674,No local OneLab presence,DOST-VIII,LEYTE,67.85501567794391,67.85501567794391,No local lab; nearest 50-100 km
GUIMARAS,187842,0,0,0,0.0,,,,0.0,0.0,0.0,596.2106476334413,315.0597875861618,0.0,0.0,0.0,0.0,0.0,0.0,0.012551287050714519,0.0,0.0,0.012551287050714519,No local OneLab presence,DOST-VI,ILOILO,17.128128684738634,17.128128684738634,No local lab; nearest <= 50 km
IFUGAO,207498,0,0,0,0.0,,,,0.0,0.0,0.0,2506.6569250066627,82.77877915002209,0.0,0.0,0.0,0.0,0.0,0.0,0.014011003271959553,0.0,0.0,0.014011003271959553,No local OneLab presence,DOST-CAR,BENGUET,82.30505289684221,82.30505289684221,No local lab; nearest 50-100 km
ILOCOS NORTE,609588,0,0,0,0.0,,,,0.0,0.0,0.0,3271.7181211812344,186.32045225825013,0.0,0.0,0.0,0.0,0.0,0.0,0.043871468035920486,0.0,0.0,0.043871468035920486,No local OneLab presence,DOST-II,CAGAYAN,130.89455627935493,130.89455627935493,No local lab; nearest 100-200 km
ILOCOS SUR,706009,0,0,0,0.0,,,,0.0,0.0,0.0,2465.2760537497693,286.3813157662957,0.0,0.0,0.0,0.0,0.0,0.0,0.05103199397042738,0.0,0.0,0.05103199397042738,No local OneLab presence,DOST-I,LA UNION,78.81157253394643,78.81157253394643,No local lab; nearest 50-100 km
ILOILO,2509525,1,46,46,46.0,873.4782608695652,180.0,1920.0,0.03984817844014305,1.8330162082465806,1.8330162082465806,4720.20885746033,531.6554999539214,0.038461538461538464,0.0332129963898917,0.03389830508474576,0.1295698057069233,0.11333847510819248,0.11991517579145314,0.1849667497943468,0.035449474957521224,0.12114634748433696,0.1495172748368256,Potentially underserved,DOST-VI,ILOILO,33.919123042316016,0.0,Local OneLab presence
ISABELA,1697050,0,0,0,0.0,,,,0.0,0.0,0.0,10494.927365210971,161.70192903149126,0.0,0.0,0.0,0.0,0.0,0.0,0.12462980754485252,0.0,0.0,0.12462980754485252,No local OneLab presence,DOST-II,CAGAYAN,80.86582493686785,80.86582493686785,No local lab; nearest 50-100 km
